algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1900;0.00507868;0.0050996467667943045;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;1950;0.005359566666666667;0.005371580839538876;0
Полином (наивно);O(n^2);seconds;1.5219182629323287E-10;1.4126445337380345E-09;2000;0.005650959999999999;0.005650578134952138;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;50;1.7316750000000002E-07;1.768621179915688E-07;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;100;3.46782E-07;3.537242359831376E-07;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;150;5.26488E-07;5.305863539747064E-07;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;200;7.003040000000001E-07;7.074484719662752E-07;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;250;8.87042E-07;8.84310589957844E-07;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;300;1.0658099999999999E-06;1.0611727079494129E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;350;1.2480000000000002E-06;1.2380348259409817E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;400;1.41915E-06;1.4148969439325505E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;450;1.601406E-06;1.5917590619241193E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;500;1.7722940000000002E-06;1.768621179915688E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;550;1.953548E-06;1.9454832979072567E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;600;2.144948E-06;2.1223454158988257E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;650;2.30256E-06;2.2992075338903943E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;700;2.476935E-06;2.4760696518819633E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;750;2.6472425E-06;2.652931769873532E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;800;2.8200649999999996E-06;2.829793887865101E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;850;2.9994619999999996E-06;3.0066560058566696E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;900;3.1729225000000005E-06;3.1835181238482386E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;950;3.357972E-06;3.360380241839807E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1000;3.55109E-06;3.537242359831376E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1050;3.70214E-06;3.714104477822945E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1100;3.882435E-06;3.890966595814513E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1150;4.0628875000000005E-06;4.067828713806083E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1200;4.247028E-06;4.2446908317976514E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1250;4.406808E-06;4.42155294978922E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1300;4.5908300000000006E-06;4.598415067780789E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1350;4.809864E-06;4.775277185772358E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1400;4.974508E-06;4.952139303763927E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1450;5.1450299999999994E-06;5.129001421755495E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1500;5.312155999999999E-06;5.305863539747064E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1550;5.50361E-06;5.482725657738633E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1600;5.707018000000001E-06;5.659587775730202E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1650;5.8102925E-06;5.8364498937217705E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1700;5.999035E-06;6.013312011713339E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1750;6.200123999999999E-06;6.1901741297049086E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1800;6.3486740000000004E-06;6.367036247696477E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1850;6.532516E-06;6.543898365688046E-06;0
